样本方案,事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局,BH全局5%显著,Bonferroni全局5%显著
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 中游,17,17,0.026391644846397125,0.0034876787061533824,0.02290396614024374,2.012118082550314,0.05451709605255403,0.08893022184363127,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游 vs 下游,17,8,-0.050186097826244946,-0.16482526079528936,0.11463916296904442,3.466053324740734,0.006099318275065161,0.023618135515258612,0.3293631868535187,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",中游 vs 下游,17,8,-0.08642108101154432,-0.16482526079528936,0.07840417978374505,2.3672952870516304,0.039445445731268354,0.07889089146253671,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游 vs 中游,17,17,-0.050186097826244946,-0.08642108101154432,0.03623498318529937,1.8766595985831966,0.06970996596426611,0.09906153058079921,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游 vs 下游,17,8,0.0169861030311773,-0.17185797999504285,0.18884408302622013,7.021166500728191,3.246442731237715e-06,0.00011108752435581969,0.00017530790748683663,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",中游 vs 下游,17,8,-0.0687072924129422,-0.17185797999504285,0.10315068758210065,3.889782814662192,0.0014337413023355788,0.011085849197620777,0.07742203032612126,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游 vs 中游,17,17,0.0169861030311773,-0.0687072924129422,0.0856933954441195,3.719454236428257,0.0007660210854693483,0.010341284653836201,0.041365138615344806,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游 vs 下游,17,8,0.025606750850057942,-0.03094270713365411,0.056549457983712054,2.9426642636291827,0.012329121977223087,0.03264271733084422,0.6657725867700467,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",中游 vs 下游,17,8,0.0029511973795046287,-0.03094270713365411,0.03389390451315874,1.9255936517602261,0.08700922494521976,0.10678404879640607,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游 vs 中游,17,17,0.025606750850057942,0.0029511973795046287,0.022655553470553313,1.9992465973861193,0.05599310264228635,0.08893022184363127,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游 vs 下游,17,8,-0.021583930124960043,-0.1352340351323692,0.11365010500740916,3.4378299510828687,0.006560593198682948,0.023618135515258612,0.3542720327288792,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",中游 vs 下游,17,8,-0.05527230768179109,-0.1352340351323692,0.07996172745057811,2.412605419460826,0.03681517135390824,0.07889089146253671,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游 vs 中游,17,17,-0.021583930124960043,-0.05527230768179109,0.033688377556831045,1.782801067439018,0.08411090968617045,0.10678404879640607,1.0,False,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游 vs 下游,17,8,0.030328261635826824,-0.15418573299754465,0.18451399463337148,6.837260758250539,4.730113784892903e-06,0.00011108752435581969,0.00025542614438421677,True,True
