事件,事件日期,基准指数,Stkcd,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]",股票代码,冻结Layer,机器建议与原始Layer是否冲突
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,997,-0.0002944859497807,1.3473439004949748,221,-0.0241099232301559,3,-0.0377545833705522,7,-0.0349613680514275,11,000997,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2049,-0.0004642945152418,1.4012086772850514,221,0.00487820177869,3,-0.0657845031924803,7,-0.0365578635720718,11,002049,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2065,0.0004172474235091,1.1501357834369712,221,-0.0089354132498272,3,-0.0897592218375972,7,-0.1156898381412815,11,002065,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2131,-0.0013599784345729,1.194515653801077,221,-0.0320117711508051,3,-0.2909631397898168,7,-0.1954595761279519,11,002131,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2230,-0.0004263214397251,1.2619233520060182,221,-0.003922152419663,3,-0.0667486496634826,7,-0.0675175674332893,11,002230,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2236,-0.0011653722195543,1.330256241200141,221,0.0136670649735759,3,-0.0401235156642787,7,-0.0345946523787538,11,002236,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2253,0.0006763276944524,1.0271571983027172,221,0.0072871388279166,3,-0.1707114602667722,7,-0.1830642377297412,11,002253,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2281,0.0012592931321964,1.631343824047807,221,-0.0051877952491704,3,-0.1033414651776176,7,0.0812319256709066,11,002281,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2368,-0.0011897576090363,1.478618101780942,221,-0.0089915528473798,3,-0.0618601154475889,7,-0.0655322641408872,11,002368,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2371,0.0023759382539679,1.1798535080282564,221,0.0030838195681305,3,-0.0752299242501664,7,-0.0262369013958723,11,002371,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2405,-0.0001968172610638,1.2483504145391189,221,-0.0134535474053471,3,-0.0955315124398637,7,-0.1161706375465999,11,002405,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2415,-0.0009196274651214,1.0298136197274042,221,0.0140670211318795,3,-0.001181531896768,7,-0.0173577633893416,11,002415,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2439,-0.0026676189053389,1.5080544302601444,221,0.0050497064235114,3,-0.0584420486315639,7,-0.033862317166253,11,002439,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2463,0.002365065630109,1.18445170734745,221,0.0392348483802606,3,-0.0009534305919207,7,0.0301177667231531,11,002463,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2607,-0.0014093978692241,1.1909058488216009,221,-0.0201847284336,3,-0.1323927504311576,7,-0.2548191551128875,11,002607,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,2777,-0.001351322871166,1.1697406562905233,221,-0.0086815024456405,3,-0.0959850100720059,7,-0.1135425386923546,11,002777,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,300020,-0.0052924899551411,1.4442294828991302,220,0.0296522940454847,3,-0.0241234157025792,7,0.1673376311676296,11,300020,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,300033,0.0019966217885026,2.3914284548271114,221,-0.0078399485556031,3,-0.0779345678498372,7,-0.0619890804614938,11,300033,中游,是
