事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值,p_BH全局,p_Bonferroni全局,p_BH事件内,原始p小于0.05,BH全局通过5%,BH事件内通过5%,Bonferroni通过5%,是否主规格,结果类别,公司数,产业链梯度斜率,标准误,t值,p值,R平方
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游,下游,上游 vs 下游,20.0,20.0,0.0233833152234136,-0.017920018982997,0.0413033342064106,0.0118526672759444,3.4847290694000845,0.0013090532553877,0.00471259171939572,0.0706888757909358,0.002945369824622325,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",上游,中游,上游 vs 中游,20.0,20.0,0.0233833152234136,0.0010449014679518,0.0223384137554618,0.0105878955160509,2.109806780922366,0.0434650065085797,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",中游,下游,中游 vs 下游,20.0,20.0,0.0010449014679518,-0.017920018982997,0.0189649204509488,0.0089669024939677,2.114991265234228,0.0418852907313837,0.0711245561049486,1.0,0.055883579796745325,True,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游,下游,上游 vs 下游,20.0,20.0,-0.0144433859833234,-0.1007991004315183,0.0863557144481948,0.0206292514659067,4.186080846942606,0.000175138548638,0.001351068803778857,0.009457481626452,0.0006755344018894285,True,True,True,True,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",上游,中游,上游 vs 中游,20.0,20.0,-0.0144433859833234,-0.0604348378092065,0.045991451825883,0.0182458652338302,2.520650637088392,0.0160360447314795,0.036081100645828874,0.865946415499893,0.0288648805166631,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",中游,下游,中游 vs 下游,20.0,20.0,-0.0604348378092065,-0.1007991004315183,0.0403642626223117,0.0208697486906355,1.93410391378712,0.0609135504706135,0.09579810927230324,1.0,0.07184858195422743,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游,下游,上游 vs 下游,20.0,20.0,0.032483451863284,-0.0907957677704002,0.1232792196336843,0.0252463843527693,4.883044554463548,2.1660313217853807e-05,0.0005848284568820528,0.0011696569137641057,0.0002924142284410264,True,True,True,True,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",上游,中游,上游 vs 中游,20.0,20.0,0.032483451863284,-0.056035439100626,0.08851889096391,0.0215173522175375,4.113837523734135,0.0002015614801361,0.0013605399909186748,0.010884319927349399,0.0006802699954593374,True,True,True,True,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",中游,下游,中游 vs 下游,20.0,20.0,-0.056035439100626,-0.0907957677704002,0.0347603286697742,0.0248799134548421,1.3971241794255205,0.1711205412576331,0.21001157336164064,1.0,0.17770210053677285,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游,下游,上游 vs 下游,20.0,20.0,0.0147269052724271,-0.0480545339613995,0.0627814392338267,0.0165815265861138,3.7862279391333566,0.0005643148700513,0.00304730029827702,0.0304730029827702,0.0082406778265746,True,True,True,True,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游,中游,上游 vs 中游,20.0,20.0,0.0147269052724271,-0.0205143005805707,0.0352412058529978,0.0155569528735199,2.2653026038912314,0.0294130699895926,0.06353223117752002,1.0,0.07941528897190002,True,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",中游,下游,中游 vs 下游,20.0,20.0,-0.0205143005805707,-0.0480545339613995,0.0275402333808288,0.0176470718328651,1.5606120744371388,0.1269981900519468,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游,下游,上游 vs 下游,20.0,20.0,0.0288946029575129,0.0009457302465707,0.0279488727109422,0.0280591439629173,0.996070042189426,0.3257171917916869,0.37422826290959776,1.0,0.43971820891877733,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游,中游,上游 vs 中游,20.0,20.0,0.0288946029575129,-0.0141325104378643,0.0430271133953772,0.0273350325322885,1.5740648321728912,0.1242465904069662,0.17372620577121606,1.0,0.20268057339975207,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",中游,下游,中游 vs 下游,20.0,20.0,-0.0141325104378643,0.0009457302465707,-0.015078240684435,0.0246240173912009,-0.6123387766052766,0.543976595887805,0.5857188434068656,1.0,0.6223262711197948,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游,下游,上游 vs 下游,20.0,20.0,-0.0377965529237118,0.0749523250887276,-0.1127488780124394,0.0392958635353234,-2.869230190375849,0.0069100564134442,0.0216106000379622,0.3731430463259868,0.0266572113171996,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游,中游,上游 vs 中游,20.0,20.0,-0.0377965529237118,0.0658365858705453,-0.1036331387942571,0.0373395261380379,-2.775427262015669,0.008640715677432,0.02284903827188537,0.466598646581328,0.0266572113171996,True,True,True,False,否,两两比较稳健性,,,,,,
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",中游,下游,中游 vs 下游,20.0,20.0,0.0658365858705453,0.0749523250887276,-0.0091157392181822,0.0427330074100325,-0.2133184573394226,0.8322266060026041,0.8446417154903877,1.0,0.8446417154903877,False,False,False,False,否,两两比较稳健性,,,,,,
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",,,,,,,,,,,,0.0004237777924642,0.003423358157391,0.0002118888962321,True,True,True,True,否,梯度检验稳健性,60.0,0.0208525652059809,0.0052311676026192,3.986216231255949,0.0001901865642995,0.2150485462189623
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",,,,,,,,,,,,0.0001588513974052958,0.0008324007666983044,7.94256987026479e-05,True,True,True,True,否,梯度检验稳健性,60.0,0.0437261399128782,0.0099272319631103,4.404665880213629,4.624448703879469e-05,0.2506564654684813
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",,,,,,,,,,,,3.876055695757543e-05,0.0001162816708727263,1.9380278478787716e-05,True,True,True,True,否,梯度检验稳健性,60.0,0.0595371846227276,0.0120000906804822,4.961394560089681,6.460092826262572e-06,0.2979520193609108
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",,,,,,,,,,,,0.0009075832326951001,0.0108909987923412,0.0018151664653902001,True,True,True,True,否,梯度检验稳健性,60.0,0.0303904443866753,0.0083773490865426,3.6276922535667406,0.0006050554884634,0.1849370874799686
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",,,,,,,,,,,,0.3238928757338935,1.0,0.3238928757338935,False,False,False,False,否,梯度检验稳健性,60.0,0.0133796879268476,0.0134475811307955,0.9949512701736034,0.3238928757338935,0.0167813059462674
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",,,,,,,,,,,,0.00869039818017288,0.1303559727025932,0.0108629977252161,True,True,True,False,否,梯度检验稳健性,60.0,-0.0560275998415034,0.0201263626548464,-2.783791627048517,0.0072419984834774,0.1178639581314497
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",,,,,,,,,,,,0.0001588513974052958,0.0007006334219979153,7.94256987026479e-05,True,True,True,True,否,梯度检验稳健性,60.0,0.0446092957230875,0.0100145059612718,4.454467938368682,3.8924078999884185e-05,0.2549036775109948
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",,,,,,,,,,,,2.5067268530979654e-05,2.5067268530979654e-05,1.2533634265489827e-05,True,True,True,True,否,梯度检验稳健性,60.0,0.064550383322281,0.0119964442301288,5.380793015330652,1.3926260294988697e-06,0.3329724750752043
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",,,,,,,,,,,,0.0008561819584107819,0.0094180015425186,0.0018151664653902001,True,True,True,True,否,梯度检验稳健性,60.0,0.0305161621080815,0.0083067403932422,3.6736626719317536,0.0005232223079177,0.1887635065669022
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",,,,,,,,,,,,0.3199365817763876,1.0,0.3238928757338935,False,False,False,False,否,梯度检验稳健性,60.0,0.0140675432261905,0.0134754828201983,1.0439361182001337,0.3008465827918992,0.0184431588968365
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",,,,,,,,,,,,0.008310817828206,0.108040631766678,0.0108629977252161,True,True,True,False,否,梯度检验稳健性,60.0,-0.0576619111136356,0.0202146223833407,-2.8524851971093907,0.006002257320371,0.1230281412461647
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",,,,,,,,,,,,0.0004237777924642,0.0038140001321778,0.0002118888962321,True,True,True,True,否,梯度检验稳健性,60.0,0.0206516671032053,0.0052237400557001,3.953425492654477,0.0002118888962321,0.2122730373464231
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",,,,,,,,,,,,0.0001588513974052958,0.0009531083844317748,7.94256987026479e-05,True,True,True,True,否,梯度检验稳健性,60.0,0.0431778572240974,0.0098910033035133,4.365366778187261,5.295046580176526e-05,0.2473048365111338
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",,,,,,,,,,,,3.2748304279835376e-05,6.549660855967075e-05,1.6374152139917688e-05,True,True,True,True,否,梯度检验稳健性,60.0,0.0616396098168421,0.0120401036890662,5.119524832067496,3.638700475537264e-06,0.3112418879864465
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",,,,,,,,,,,,0.00061124387982084,0.0061124387982084,0.0018151664653902001,True,True,True,True,否,梯度检验稳健性,60.0,0.0313907196169133,0.0082417885971399,3.808726618856303,0.0003395799332338,0.2000705974349377
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",,,,,,,,,,,,0.3199365817763876,1.0,0.3238928757338935,False,False,False,False,否,梯度检验稳健性,60.0,0.0139744363554711,0.013423118382136,1.0410722723021455,0.302162327233255,0.0183439605908723
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",,,,,,,,,,,,0.00869039818017288,0.12201565699007999,0.0108629977252161,True,True,True,False,否,梯度检验稳健性,60.0,-0.0563744390062197,0.0200756792042549,-2.808096225918549,0.00677864761056,0.1196836307548
