time,thscode,open,close,changeRatio,volume,amount
2019-02-26,300474.SZ,41.11,41.49,0.096501809408924,4487665.0,186385891.99
2019-02-27,300474.SZ,40.96,41.3,-0.45794167269223,4546303.0,191616916.37
2019-02-28,300474.SZ,42.5,42.78,3.5835351089588,3826341.0,162822102.31
2019-03-01,300474.SZ,43.0,43.41,1.4726507713885,3027581.0,131470440.85
2019-03-04,300474.SZ,44.89,43.47,0.13821700069109,4297265.0,190035981.05
2019-03-05,300474.SZ,43.56,46.35,6.6252587991718,5170880.0,232203268.73
2019-03-06,300474.SZ,46.41,48.5,4.638619201726,6028770.0,289043163.92
2019-03-07,300474.SZ,48.01,49.25,1.5463917525773,5733484.0,288165216.26
2019-03-08,300474.SZ,49.2,53.66,8.9543147208122,10522924.0,554077963.7
2019-03-11,300474.SZ,55.3,54.0,0.63361908311592,7542688.0,410511077.92
2019-03-12,300474.SZ,53.0,53.71,-0.53703703703704,6798193.0,360981710.99
2019-03-13,300474.SZ,53.2,48.9,-8.9555017687581,6404582.0,327469366.95
2019-03-14,300474.SZ,48.2,46.78,-4.3353783231084,4887480.0,230030641.21
2019-03-15,300474.SZ,47.3,46.53,-0.53441641727234,2717233.0,127156642.17
2019-03-18,300474.SZ,47.63,48.63,4.5132172791747,3126743.0,150080852.2
2019-03-19,300474.SZ,48.6,49.72,2.2414147645486,3893023.0,193439521.39
2019-03-20,300474.SZ,49.8,48.37,-2.7152051488335,3783300.0,183028181.0
2019-03-21,300474.SZ,48.89,48.69,0.66156708703742,2883763.0,140490569.61
2019-03-22,300474.SZ,48.6,48.3,-0.80098582871226,2876361.0,139409868.29
2019-03-25,300474.SZ,47.69,49.61,2.712215320911,4342501.0,214299136.99
2019-03-26,300474.SZ,49.61,46.65,-5.966539004233,3477691.0,166078239.53
2019-03-27,300474.SZ,46.77,46.1,-1.1789924973205,2960693.0,136566383.58
2019-03-28,300474.SZ,46.01,45.72,-0.82429501084599,2468749.0,114990904.79
2019-03-29,300474.SZ,45.17,46.51,1.7279090113736,3896893.0,176845184.86
2019-04-01,300474.SZ,46.65,48.25,3.7411309395829,3739692.0,178602724.07
2019-04-02,300474.SZ,48.5,49.45,2.4870466321244,5676770.0,279017337.97
2019-04-03,300474.SZ,49.0,48.07,-2.7906976744186,3521421.0,169983948.58
2019-04-04,300474.SZ,48.33,46.79,-2.6627834408155,3887011.0,183951619.64
2019-04-08,300474.SZ,47.01,45.6,-2.5432784783073,3675093.0,169569059.42
2019-04-09,300474.SZ,45.69,46.08,1.0526315789474,2347971.0,108217041.16
2019-04-10,300474.SZ,46.06,46.22,0.30381944444445,2129284.0,98290305.49
2019-04-11,300474.SZ,46.07,45.02,-2.5962786672436,2333075.0,106238914.45
2019-04-12,300474.SZ,45.02,46.04,2.265659706797,2470111.0,113011391.09
2019-04-15,300474.SZ,46.64,45.42,-1.3466550825369,2455455.0,113322397.43
2019-04-16,300474.SZ,42.5,42.69,-6.0105680317041,8173745.0,338892554.19
2019-04-17,300474.SZ,42.7,43.08,0.91356289529164,3662408.0,156948455.34
2019-04-18,300474.SZ,42.99,42.93,-0.34818941504178,2552012.0,110420644.44
2019-04-19,300474.SZ,43.3,43.59,1.5373864430468,2304003.0,100354546.16
2019-04-22,300474.SZ,43.54,42.7,-2.0417526955724,2207801.0,95602908.49
2019-04-23,300474.SZ,42.98,41.94,-1.7798594847775,2011448.0,84618376.96
2019-04-24,300474.SZ,41.98,42.11,0.40534096328088,3043506.0,126759216.44
2019-04-25,300474.SZ,42.1,41.0,-2.6359534552363,3325716.0,138445431.22
2019-04-26,300474.SZ,40.51,39.75,-3.0487804878049,2384170.0,96341185.35
2019-04-29,300474.SZ,40.05,39.74,-0.025157232704398,2147453.0,86194413.8
2019-04-30,300474.SZ,39.64,40.81,2.6925012581782,1944085.0,78694587.57
2019-05-06,300474.SZ,39.98,36.73,-9.9975496201911,2937037.0,111999083.48
2019-05-07,300474.SZ,36.88,36.91,0.49006261911244,1645288.0,60848726.56
2019-05-08,300474.SZ,35.82,38.28,3.7117312381469,2805928.0,107000908.21
2019-05-09,300474.SZ,37.98,39.25,2.533960292581,3446229.0,136189215.28
2019-05-10,300474.SZ,39.06,41.0,4.4585987261146,4363018.0,175764273.54
2019-05-13,300474.SZ,41.08,41.8,1.9512195121951,4353373.0,182883875.32
2019-05-14,300474.SZ,40.9,41.0,-1.9138755980861,3540877.0,145642124.06
2019-05-15,300474.SZ,41.210926016658,41.261146496815,0.63694267515923,2198043.0,89959388.53
2019-05-16,300474.SZ,41.241058304753,41.170749632533,-0.21908471275559,2093128.0,85238121.14
2019-05-17,300474.SZ,41.130573248408,40.457618814307,-1.7321297877531,3737818.0,156019727.17
2019-05-20,300474.SZ,41.060264576188,42.566878980892,5.2135054617676,4870413.0,204195247.0
2019-05-21,300474.SZ,42.285644292014,42.024497795198,-1.2741859367626,3216272.0,133420243.04
2019-05-22,300474.SZ,41.74326310632,44.445124938756,5.7600382409178,6172526.0,266230797.37
2019-05-23,300474.SZ,44.445124938756,45.097991180794,1.4689265536723,8457995.0,384448336.13
2019-05-24,300474.SZ,44.153846153846,42.40617344439,-5.9688195991091,4371782.0,189286852.04
2019-05-27,300474.SZ,42.416217540421,46.082312591867,8.6688773093321,5276791.0,235245937.41
2019-05-28,300474.SZ,45.951739343459,45.570063694268,-1.1115954664342,4284223.0,194264252.92
2019-05-29,300474.SZ,44.796668299853,45.0678588927,-1.1020498126515,3888206.0,176885713.09
2019-05-30,300474.SZ,44.495345418912,43.681773640372,-3.0755515934923,3885060.0,168305834.34
2019-05-31,300474.SZ,43.511024007839,43.21974522293,-1.0577144171074,2912345.0,126972023.04
2019-06-03,300474.SZ,44.163890249878,42.1852033317,-2.3936788287241,3447762.0,146805054.58
2019-06-04,300474.SZ,42.235423811857,41.301322880941,-2.0952380952381,2925055.0,122318523.3
2019-06-05,300474.SZ,41.863792258697,41.361587457129,0.14591439688717,2233007.0,92591986.42
2019-06-06,300474.SZ,41.210926016658,39.824840764331,-3.7153958232152,2188836.0,87791952.22
2019-06-10,300474.SZ,39.754532092112,39.885105340519,0.15132408575032,2695800.0,107954602.0
2019-06-11,300474.SZ,39.704311611955,40.658500734934,1.9390581717451,4268664.0,170015188.84
2019-06-12,300474.SZ,40.457618814307,40.327045565899,-0.81521739130434,2946862.0,118546012.03
2019-06-13,300474.SZ,40.065899069084,39.844928956394,-1.1955168119552,1838391.0,73081096.72
