事件,事件日期,基准指数,Stkcd,Layer,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]"
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002371,上游,0.0020038767814596578,1.1001958849134466,221,-0.004916505368142695,3,-0.02396381543814806,7,-0.06670121772931525,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002405,中游,0.0004339747853776317,1.4508861678386178,221,0.0013840046605690876,3,-0.04367185795125245,7,-0.024361422843991884,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002415,中游,-0.0007570966498046645,1.0223923273332063,221,0.009404071663940455,3,0.018188630337171764,7,0.025540912895247146,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002439,下游,-0.0024179786898575095,1.6705525909671581,221,-0.04614269287227322,3,-0.028125698492512213,7,0.062428608642627996,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002463,上游,0.002537063619229069,1.299347515284322,221,0.058417201955064724,3,0.0688734872420777,7,-0.06064061045243653,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002607,下游,9.488202594146517e-05,1.4208179028194308,221,0.00369995840962601,3,0.03907123054511839,7,0.01876870792925127,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,002777,中游,-0.0009447031871515362,1.5141576218031458,221,-0.005094682358566201,3,0.011685212471219392,7,0.06846528990202841,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300020,下游,-0.003700191585713002,1.8191022815706286,220,-0.08951047130198912,3,-0.10655263865929206,7,-0.09958033630133103,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300033,中游,0.003104840851325131,2.4196578261323265,221,0.023276559119739644,3,0.015185035626697768,7,0.02591233635331748,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300036,下游,-0.0009971182114508791,2.109345247018192,221,0.0031088770290830727,3,0.01213308959398543,7,0.01219851437865254,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300058,下游,0.0018270745443504175,2.0171815330590217,221,-0.044632509717634605,3,-0.021701017176085767,7,0.07066764204233825,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300075,下游,6.283336730806421e-05,1.984067697959201,221,-0.003532031039426331,3,-0.010419618916079346,7,-0.025661866009033946,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300078,中游,-0.00028078472716483867,2.232919697713939,221,-0.03865954491572125,3,-0.03978361519930786,7,-0.008363036547968168,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300168,下游,0.00017312760237963472,2.012594878351921,221,-0.015536314546886722,3,-0.04279631861338525,7,0.0027209096708371884,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300170,下游,0.00025740983289372957,2.1069054723275693,221,0.12220353707628302,3,0.29580865875096696,7,0.5348417786114934,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300188,下游,-0.00033101239107351184,2.2244881716026517,221,-0.011203787877239253,3,-0.03899753274875853,7,0.03616834758589947,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300223,上游,-2.4352570969789776e-05,1.9259564599150933,221,0.029639073756127312,3,0.023640106150353037,7,0.009104293099704171,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300229,中游,0.0012999478443538736,2.1981647444307884,221,-0.009276897217685268,3,-0.08996487984741386,7,0.20725668638778313,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300253,下游,-0.00011006109384660432,1.9080290408589418,221,-0.00039058836525836076,3,-0.019210456731829195,7,0.005185845350441583,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300308,上游,0.002211888686028914,1.9177160272624905,221,-0.009527173879116824,3,0.1112854671668565,7,-0.04301158977334757,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300365,中游,-0.000403614753540014,2.039279672183412,221,-0.012349285644238053,3,-0.08186423366230128,7,-0.01523508519834238,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300394,上游,0.002440352524226862,1.78548475684471,221,0.07966245311453632,3,0.23757878658470177,7,0.08689111792977416,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300451,中游,-0.001174161952866991,2.078864409942984,221,-0.0192138149901761,3,-0.0725555237182031,7,-0.04140061943877155,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300474,上游,0.0008829538707443829,1.9353941938917913,221,-0.01997567329408534,3,-0.07148954936384472,7,-0.14481301264993474,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300476,上游,0.0036845400194257688,2.272313455226268,221,0.0867136547841095,3,0.1749509393549995,7,0.0030777657271414266,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300496,中游,-0.001706531777056098,1.8496234539625651,221,0.06644544231603469,3,0.056633372163827966,7,0.1771471265482762,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300502,上游,0.004134001092685917,1.809438213666266,221,0.10253757230581054,3,0.1689645290232244,7,0.0680801346799853,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300624,中游,0.0010541238347668452,1.9111140419914356,221,0.017712629713433937,3,-0.0072685253643079446,7,0.12335653814353988,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300634,中游,0.0005904639061557837,2.1761944494034493,221,0.005112822566325089,3,0.0411732898516861,7,0.398267701179878,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300781,下游,0.0031052293187463177,2.104702982865236,217,-0.047149771628119654,3,-0.03726378678187873,7,0.08858450997595524,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,300785,下游,0.0018427851045180635,2.2381870647293276,221,-0.03247593659680678,3,-0.03790867575435411,7,0.13274938525603439,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600183,上游,0.0007643573713765068,1.37733166566383,221,0.1613248736552078,3,0.17055911565975085,7,0.12487618572185274,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600410,下游,0.00161384473227037,1.2550581493299273,221,-0.07842836527924235,3,0.07434117133911639,7,0.17928566673880367,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600556,下游,-0.00045041506967850273,1.7636833671489254,221,-0.1449608508452428,3,0.02220748538968854,7,0.050172719660680605,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,600570,下游,0.00025181018842305303,1.4460605388168615,221,0.008531515168906424,3,-0.01038968754917448,7,0.0026196557527863457,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,603019,上游,0.0029433408047730893,1.3144889380216331,221,0.008215559157877998,3,0.0023736871149155937,7,0.0186511220854233,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,603160,中游,0.0008240654805431962,1.1773657939985744,211,0.034730798774604,3,0.02477008739865688,7,0.012856755222422536,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,603986,上游,-0.0003459582969335822,1.5263844233616424,221,0.029286440412277133,3,0.017493749030644684,7,0.028759266841187167,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688008,上游,0.0003767953855579519,1.6565655711508487,221,0.056260978682357,3,0.057787276819749794,7,0.014718472092538182,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688012,上游,0.0012319903832954454,1.5745223721528316,221,-0.01289953189577508,3,-0.017362079035895622,7,-0.04698472564693364,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688023,中游,-0.002186247801552791,1.9726699334386917,221,0.002929929728100608,3,-0.01026785911709589,7,0.06499983698400162,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688041,上游,0.0021038274605691036,1.5877299960894111,221,-0.007710483882765205,3,-0.10238239883483238,7,-0.19457520490869082,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688088,中游,-0.0006972677500494858,2.227251215014294,221,0.11858223123880932,3,0.19859942961842927,7,0.25934522065122245,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688111,中游,-0.00033446324840820645,2.09009317364513,221,0.014794725091911827,3,0.03286770049399849,7,0.1624752638457058,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688228,下游,-0.0011908829797048434,2.446642346119693,221,-0.029574536587874276,3,-0.0012195373207961185,7,0.1809706647334787,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688256,上游,0.006550235609649955,1.9041069529233503,221,0.028361868463143904,3,-0.1370330999710798,7,-0.3484789897611389,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688327,中游,-0.0011034553831045766,2.4166893066324073,221,-0.011274652961023883,3,-0.006210343425894349,7,0.08135872060596919,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688369,下游,-0.0018546014528286372,2.1623293021573313,221,0.04233505027871058,3,0.0936312184705554,7,0.30963664498754406,11
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,688981,上游,0.002091966068361834,1.429876331957873,221,0.04571069270589004,3,-0.026446282137435488,7,-0.04695307993099836,11
